0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Goods and Services Tax  - Tax liabilities and ITC Comparison,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
GSTIN:   32AABCL1984A1Z0,,,Legal name:   KNAUF INDIA PRIVATE LIMITED,,,,,,,Report generated at:   20/04/2023 08:04 PM,,,,,,,,,,,,,,,,
Trade name:   KNAUF INDIA PRIVATE LIMITED,,,Financial Year:   2022-23,,,,,,,,,,,,,,,,,,,,,,,
Tax liability Summary,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Period,"Tax liability as per GSTR-1/IFF, GSTR-2B/2A and paid as per GSTR-3B",,,,,,,,,,,,,,,,,,,,,,,,,
,"Liability as per GSTR-1/IFF, GSTR-2B/2A",,,,,Liability paid as per GSTR-3B,,,,,Shortfall (-)/ Excess (+) in liability,,,,,"Payment made, if any through DRC-03",,,,,"Shortfall (-)/ Excess (+) in liability, including payment through DRC-03",,,,,Percentage of liability paid (%) including payment through DRC-03
,IGST,CGST,SGST/UTGST,CESS,TOTAL,IGST,CGST,SGST/UTGST,CESS,TOTAL,IGST,CGST,SGST/UTGST,CESS,TOTAL,IGST,CGST,SGST/UTGST,CESS,TOTAL,IGST,CGST,SGST/UTGST,CESS,TOTAL,
Apr-22,0,430834.49,430834.49,0,861668.98,0,430834.49,430834.49,0,861668.98,0,0,0,0,0, , , , , , , , , , ,100
May-22,63908.24,1228122.18,1228122.18,0,2520152.6,63908.24,1228122.18,1228122.18,0,2520152.6,0,0,0,0,0, , , , , , , , , , ,100
Jun-22,13791.3,936923.25,936923.25,0,1887637.8,13791.3,936923.25,936923.25,0,1887637.8,0,0,0,0,0, , , , , , , , , , ,100
Jul-22,0,856262.84,856262.84,0,1712525.68,0,856262.84,856262.84,0,1712525.68,0,0,0,0,0, , , , , , , , , , ,100
Aug-22,236214.52,1099247.4,1099247.4,0,2434709.32,236214.52,1099247.4,1099247.4,0,2434709.32,0,0,0,0,0, , , , , , , , , , ,100
Sep-22,331117.11,612824.55,612824.55,0,1556766.21,331117.11,612824.55,612824.55,0,1556766.21,0,0,0,0,0, , , , , , , , , , ,100
Oct-22,306637.8,691186.7,691186.7,0,1689011.2,306637.8,691186.7,691186.7,0,1689011.2,0,0,0,0,0, , , , , , , , , , ,100
Nov-22,359279.04,598755.2,598755.2,0,1556789.44,359279.04,598664.7,598664.7,0,1556608.44,0,-90.5,-90.5,0,-181, , , , , , , , , , ,100
Dec-22,380771.56,701250.02,701250.02,0,1783271.6,380771.56,701250.02,701250.02,0,1783271.6,0,0,0,0,0, , , , , , , , , , ,100
Jan-23,288456.47,744339.72,744339.72,0,1777135.91,288456.47,744339.72,744339.72,0,1777135.91,0,0,0,0,0, , , , , , , , , , ,100
Feb-23,170215.49,622507.45,622507.45,0,1415230.39,170215.49,622507.45,622507.45,0,1415230.39,0,0,0,0,0, , , , , , , , , , ,100
Mar-23,160740.44,1238481.82,1238481.82,0,2637704.08,160740.44,1238481.82,1238481.82,0,2637704.08,0,0,0,0,0, , , , , , , , , , ,100
Total,2311131.97,9760735.62,9760735.62,0,21832603.21,2311131.97,9760645.12,9760645.12,0,21832422.21,0,-90.5,-90.5,0,-181,0,0,0,0,0,0,-90.5,-90.5,0,-181,100
